Comment,Class
"1，左下角缝隙处存在1CM左右的凹痕
2，摄像头右上角背板处存在十余个较为集中的类似于生锈般的小气泡。
申请换货，垃圾京东售后客服给我打电话说是做工问题，不给退货。去你MD，老子的金牌会员当喂狗了！
强烈建议大家去线下门店买！再问候京东，问候那个客服，去尼码的！",-1
1，我是预售期付定金   2，我是13号上十点十分付的尾款，3，推迟发货时间，4，还没两天又多了赠品我都纳闷，你们是什么营销手段前期购买少赠品，后期购买多赠品。差评我必须给。还有以后不会在京东买东西了，你们欺骗的不是付定金这2000多人，而是这2000多人的心，我第一次差评，也是最后一次了。,-1
"1,我要的雪晶白给我发成冰玉蓝 2,看了一眼后，联系客服说换货发回去，用你同样的包装，到最后拒签，跟我说内屏坏了，拒签三天你们不联系我，等物流打电话给我我特么才知道被拒签了。3，你们所谓的内屏坏了，怎么看都是机子本身的瑕疵，后来协调，从头到尾不说发错货，就一直咬着说内屏是人为造成不属于三包，不退不换。我特么用你们原来的包装发回去，手机包装盒上一点损坏的痕迹都没有，然后就一直说让我找快递开证明，我特么真的是呵呵！反正我是看出来了，你从一开始发的就是瑕疵品，我特么没看仔细签收之后，所有责任全特么推到我和物流身上，真是熟练。后来想想，我同学没帮我开盒，为什么封装纸是开了的。没那么多时间跟你们撕逼，认栽。发回去的东西还特么偷偷把保修卡和出货单给拿走了 真特么无语\n无良",-1
"1，有问题找不到客服，让留言，留了言也不回。
2，14年买的s5，那时机器老重启，用了俩月气的不用了。现在出了S7，以为还进了，结果仍然一样，每天3-4次重启。
3，拨号键盘太*大，首选界面也不是通话记录，无法调节，不如三线品牌。
4，指纹识别很任性，有时不错，有时不灵敏，俩手（俩都录入了）轮着摸都不管用，等29秒。
5，手机待机一般，重度使用（我说的重度不是玩游戏看视频，就是长时间的用微信）待不了一天。
6，同花顺闪退，触宝拨号最新版闪退，其他软件暂时正常。
7，曲面屏误触比较严重。
优点，颜值高，反应快。
我说了这么多不知道能给我30块话费不",-1
"1，跳出快速恢复弹窗微信一直失败，短信可以。2，上手第一,二天在三星应用商店中，打开App出现闪屏。3，能从三星应用商店下载的基础App太少，多数需要下载其他应用商店。4，手机里面预装App还是太多，多数不实用。",-1
"1、手机屏比非曲面的易碎。
2、京东的手机碎屏售后非常繁锁。
3、本人对京东售后不满意。",-1
1.预定了绿色，八天了还不送货，被迫换了黑色，鄙视京东的违约行为。2，手机很漂亮，精致，黑色的也很有质感。3.手机软件依然喜欢，文字名片的扫描很好，系统流畅，感觉比过去的note4 流畅4.不足，发热，发热，这个热度，只有早年我用过的三星9100可以比，后来的note3 note4 都不会感觉手机热，即使是玩游戏也不会。这个6可不行，通话热，充电热，普通使用也会热,-1
"10月6号下的单，手机是5月生产的，5个月没卖出去还是别人退货的？打开包装，手机屏和封套之间全是灰，东哥你倒是擦擦再发啊，直接就发了。
检查外观，正面上方有两处明显的划伤，在金属边框上，但不是很严重，此时已确定不可能是全新的手机。
其他没什么问题，考虑到换的话很可能更差，就不换了。
做为京东老用户，第一次做实了二手东果然让人无语。",-1
11号晚上收到的，昨天用一天，今天上午就坏了，触摸屏不管用了，关机也需要触摸选择才行，所以关机都不能用，崩溃！！,-1
11月卖的居然还是5月初的货，显示严重阴阳屏，申请换货，好几天都还在路上，担心过了7天我更麻烦，直接改成无理由退货。非常不愉快的交易。,-1
11点抢的没充电器，人家第二天不用抢的赠品全有,-1
12月买5月3的手机，拆开包装屏幕手机有灰，手机没电必须充电才开的了机，屏幕上黄下红。*果然不是瞎编的，电子产品再也不会在网上买了。,-1
12期免息变成一次付清，不开心,-1
15号下单，16号到手，之前产品不能使用东券，17号今天突然可以使用了，你们这是闹哪样？,-1
16号才买的，半个月就降价，申请价保，客服说超过7天，申请不了，当时买的时候页面显示送300优惠券，现在又说没有那个活动，真是气死了，强烈差评！！！！！,-1
16年6月12下单 6月13到的 晚上回去才打开 才用了两天 新机器电量费的太快 而且喇叭有问题 玩游戏 放歌本应该扩音喇叭响 但总是中间响 还发闷 而且内存占用特别高 膜是新贴的 不应该是7天无理由退换嘛 在京东买第一个机器就这样伤心 就想换个机器这么难吗,-1
17号23点下单的现货 23号才收到一分给物流 手机还是不错的 很惊艳,-1
17号买的，终于收到手机了，不过怎么不是三星原包装呢？怎么是京东塑封？难道是别人用过有问题返回来的产品吗？别人有这样包装的吗？,-1
17号买的一直没有送到，打客服说是有一个赠品没有货，所以没有发货，因为着急用手，客服建议分开送，先把手机送到，好不容易21号送到了，打开机手机屏幕里面有一个黑道&hellip;让我这失望，联系客服换新机器，好麻烦，真耽误事，发到厂家3天，检测7-15天，确定是机器的事安排换货。买个手机好麻烦，这钱花的好不痛快。手机什么时候能到&hellip;,-1
17号凌晨就下了单，下单的时候显示现货，下完单变成预定了，等了14天才到货！,-1
18号我下单买，今天才拿到，等了快半个月。然后说好的大礼包包装也没有,-1
"18号直接抢到，然后十来天换了两次货，一次是屏幕有黑点，一次是连WIFI重启，耽误时间就算了
  然后抢到的24期免息白条  直接没了   12期加500+   24期加1000+   尼1玛  我想说脏话...",-1
18号订单，22号送到，客服程序化的回答让人恼火，联系几次退货居然都不给退，作为一个钻石会员，我只能说：京东，我对你太失望了！,-1
"19号为了不耽误晚上大巴特意下午打车上门自提，20号家里来人，21号上午开箱就发现灰尘很多，而且顶部有磕痕！客服以时间过长无法界定是否因我使用造成为由拒绝换机。老子连膜都没撕，我用你大爷啊？么办法，算你狠，打碎牙往肚里咽，郑重提醒诸位，以后一定要第一时间开箱检查，让配送员现场等着也要当面开箱，深度后悔开箱的时候没有录开箱视频！
PS：外观控值得拥有但是电池真不经用！！！4G网络下用今日头条看新闻，一个半小时掉了20%的电。真的是眼看电量蹭蹭蹭往下掉哦！",-1
１分评价只针对产品，对于京东的服务及售后本人非常满意，手机２次有问题都积极给予解决！对于今年的旗舰产品，三星的品控做的实在是差强人意，京东给我送的２个手机都存在液晶漏液现象，就是屏幕边缘有黄豆粒大小的黑点，实在是懒得折腾也就不换了，其它反面还是比较满意的．,-1
1刚买几天，今天设置一个功能，好像在指纹里面。就是头向左返回上一级，头向右返回下一级那个功能。第二次就没找到这个功能在哪儿了，求知道的说说，，然后手机两边曲屏直接花屏！中间一根花线一直上下来回动。手机瞬间发烫，关机都没用。气死我了。！！！！！！！看下图【图片】,-1
1星不是手机问题，是物流问题。帮客户买的手机。7号就应该到的。今天才到。早知道去某-*发顺丰了。,-1
1星给京东，反复重复过13号之后增票寄给我没有用，要求等变更好之后寄出。前后给在线客服，400电话无数次确认这件事。3号购物的商品，15号还是收到了我表示不需要寄出的发票。这种服务真是太赞了。,-1
"2010年是全触屏时代我先择了三星s2因为屏大功能强大一直用了3年2013年我选择了苹果5s因为追求时尚都在玩苹果加上苹果漂亮2015年我想起了s2因为他是我追求全智能时尚的开始功能强大应用多感觉苹果5s没有那么因为应用少没有三星多所以我选择了s6+因为科技时代三星有着不断创新一直领先苹果加上曲面屏让我在次相信了三星当我拿到s6+时和苹果5s比让我失望难道三星一直没有变出了屏大和曲面屏其实并没有什么卵用屏幕发黄清晰度还没有5s好跟我2010年s2差不多一样难到你写着好像人家说的把牛?都吹到天上一样写那么高有用吗只能是欺骗再这样下去不求质量你就是下一个诺基亚
",-1
20号收到的货25晚上用着就黑屏了，这算啥吗？,-1
"20岁小青年在京东上消费好几万了，这次消费太让我伤心了；拿到手手机系统有bug申请了换机，就让我心里有点儿不爽了；用了一个星期这款手机就降价了。哎是么也不说了。刚才售后打电话说是咋么没有购买是么保障，信号不好没听清就断了，打过去就是机器说话了。
哎以后不想在京东买东西了
这次消费好伤心、好难受",-1
22号购买，23号到手，7月8号屏幕出现蓝点，经售后检测是屏幕有问题，按22号出库恰好过了15天，京东不给换，但我到手使用从23号开始正好15天啊，ci ao ni  ma，路上物流花掉的时间凭什么我承担？？？售后给我修屏幕，正好这款屏幕全国无货，售后向总部申请给我换新机，三天后被拒绝，从别处给我找了块屏幕发过来。呵呵，这辈子不会再用三星，ci  ao  ni  ma，要不是粉蝙蝠侠，锤子大爷买三星，老子不怕谁看到，不匿名，求你搞我，bitch,-1
23号到的三星s7  第二天贴膜发现home键和屏幕磨痕，而且贴膜距离我把手机自带膜揭下来只有4小时左右的时间，找了京东客服，说超过一天，是不是人为原因，不给退。就这样不了了之了。正常人会没事找事把手机划一下吗？还有手机充满电待机一夜跑了16％的电，就问问京东，你发给我的是新机子吗？你京东厉害，我第一次在你这上面买就遇到了这么些&hellip;&hellip;  这是第一次也是最后一次，这一次也就认了，虽然不能拿你这么牛逼哄哄京东怎么样，最起码能让我身边的人不在你京东上买东西，什么七天无理由啊！有理由都退不了。给你一颗星都多了，简直就是垃圾！本人不是水军，同时提醒一下准备买手机的 慎重慎重再慎重 ！,-1
23点抢购的送的东西表示不服，强烈推荐大家维权，越想越气，客服说给20东券，叫我去买我想要的本来送的无线充电器，我需要你那*块钱呀？搞笑。。。。。。。,-1
24期免息，还有680多的利息，客服解决不了！推来推去，我只能认倒霉,-1
27号零点下单，28号早上收到货。收货后因工作未拆封，晚上回家拆封发现手机不错。29号早上发现右下侧有一瑕疵。申请退换货，客服要求返厂检测手机，七天检测，来回十天左右。我嫌麻烦，问还有没有其他办法解决。答曰可以补偿代金券*在京东买个手机壳。 晚上发现代金券有效期截止到今天！！！真无语了。哪有*钱的手机壳！！！,-1
29好签收的，30号就直降*，泥马，可不可以再坑点，本来说如果可以价保，就将就用用，联系客服说使用过白条不能价保了，果断退货，说实话真不值*，曲面屏就是个噱头，看着很拉轰，然并没有什么卵用，发热就不说了，三星通病，也就最多值*，已经入手，能退就退，打算入手的，果断放弃，不要相信京东，不要相信三星。,-1
2k屏幕，太耗电，息息屏提醒很好用，但是没发票是什么意思啊？？？？？？,-1
"2次销售 曲屏发绿  屏幕不受控制  乱跳 边角有切割破坏  面下面有图  也有放大图 最后一张是刚拆封单反拍的左下角有不正常的反光  由此证明拆封前就有上面的看不清楚了
我该说什么好呢 当初没有好好看看 过了15天了",-1
300多块钱，我不要了，我一直在京东买东西，很信任你们，但你们真让我失望，明明说12期免息，当时看着没问题，过几天突然冒出来个300多的手续费，最让我受不了的就是白条金融客服，我不想说了，我用了这么多年京东，今天算是领教了，那300多，我认了。,-1
30号买的31号就降800，真给力。,-1
"30日晚上付钱买的6088的价格，31日下午降价为5288了，
要求京东价格保护，退800，
最后说我是分期的，不能价格保护，我说一次性付清分期，也不行
我说那帮我申请一点京券做补偿，最后都不行

态度不好，就让我退货。  如果退货我就买不到这个绿色的，我都收藏了很久
对京东的政策和客服都很不满意。",-1
31号订货的，最终4月11日才到。催了无数次,-1
32G太小，没有下几个软件就满了。这次对进洞彻底寒心了。看到以旧换新咬咬牙835把note3-9002给了他们。回头买松绿，不好用抵用券，打电话若干客服换来换去，上来先叫你讲一遍经过，非常理解我的感受，但是问题就是解决不了，我就是卖给地摊上也不会给我消费受限的人民币吧！既然消费不了，你们在松柏绿三星挂什么以旧换新？这个不让买，那个没有货，等我没有机器用，只好找一个可以用的，又内存这么小，，，京东，进洞！！想说爱你，找不出任何理由啊！！！白金卡，毛用！！！众筹股东商家，毛用！,-1
3月18号当天活动三星全场满1000-100 但是特么的我的就不给优惠。找客服SX客服还要我提供有优惠的订单。我脑残？有优惠的订单我还下普通的订单？,-1
3月22号购买，24号收到，4月20号出现这种问题，手机很爱惜的使用，放在电脑桌上突然出现这种情况，联系三星和京东，说过了7天退换货时间，只能免费换屏！这样的品牌和服务，我只能说我不在**买来这里买机器出现问题都是自己作的，我5688不去买苹果6s，买个次品三星也是自己作的～～～,-1
"417号抢的中午就收到货了 非常惊喜 可惜！516号就黑屏坏了！还不到一个月 ！
拿去三星官方旗舰售后点！维修的人一直诱导我说是我搞进水 接口发霉了！看我态度非常坚决才认定是质量问题。新机啊就被拆机了 说要换零件 但是现在没零件要等 。结果就是现在519号了还没给我修好 和苹果雨理由换新机比三星的售后真的是伤人。这就是我在京东购买三星的体验！咨询过两次京东客服。都没有给我指出我应该怎么做！",-1
4G卡放进去，始终显示3G信号，经常出现花屏或者部分黑屏,-1
4月21日花了*多购买的，还不到半年手机就出现问题了，真冤,-1
4月24号下单，25号收到货，物流给力没的说。今天5月18号，手机从电脑桌掉地上，右侧摔烂一个角，曲面从上到下一路碎到底，但触摸一切正常，不影响使用，屏保揭掉的话外屏碎渣全下来了，这质量没谁了，和小米3的屏幕质量有的一拼。京东说不在质保范围，只能去售后自费更换。三星售后说内外屏一体，需要整个更换，更换要价*。总的来说，这次网购真是糟糕透了，第一次用三星，真心让我失望透了。希望有意购买的朋友们三思而后行。,-1
"4月24日下单，收货时快递员并没有开箱验机，也是因为我的京东的信任，也就直接拿回家了。因个人原因4月28日才开箱，结果一开箱就是右侧屏幕碎裂，于是马上打电话给京东PLUS客服，说是马上反馈，尽快为我处理，过了一会有人打电话来说不能处理，原因是怀疑是我自己摔的，即使不是自己摔的也不会来取件，只能自己掏钱去修，（搞笑吧，在你这买的有问题，让我自己买单！）于是继续给京东客服打投诉，到今早还是这个回复，真是店大欺客啊。本人京东钻石会员+第一批PLUS会员，花钱买了会员，却没享受到应有的待遇，本号一年在京东消费三到四万元，却出现这种情况，真心失望，对京东的售后真是不敢恭维，还好我是打的白条，已经把所有关联银行卡取消，也不准备还了，爱怎样就怎样吧，真心失望，奉劝大家别来京东买东西了！！！！！！！！
附上手机碎图！！",-1
4月份买的，到现在才评价，就是想看看手机有没有其他问题，结果真就屏幕碎了，问售后客服本地没有维修地点，要到哪里维修，说了句请稍等，结果没反应了，问他怎么样？就给我说现在询问的人很多，结果15分钟以后还是没反应，有这样的客服真是京东的荣幸啊！下次绝对不来京东了,-1
4月份的机器，品控真心不好，卡槽按到底都不平，商品必须差评加退货。售后服务倒是真心不错，效率很高，手机给零分，仅有的一颗星是给京东售后的。,-1
5.15预订付的全款，等了20多天，终于拿到货，结果包装特别看着让人心醉，连个盒子都不舍得用，就一个塑料袋子，居然看到别人评论说现在有满4000减240的活动，我想知道京东到底在搞什么，最先预订的一分优惠没有，后面买的开始有活动，送的充电宝就是个大砖头，死沉死沉，根本不会用这样的东西，还有这客服，纯属应付，什么信息也问不出来，非常恼火，对京东非常非常非常不满意，果断卸载京东，以后永不来往,-1
5.16号预定，6.5号下午18点左右拿到真机   随机带的充电器   8.7日晚上充电，发出一阵异味，随后一摸  手烫出红片， 手机充电接口巨烫  真怕爆炸了  充电器也直接坏掉了！  才两个月而已... （不知道各位同仁有这种情况没有）        客服傻B说  说我不在退换货日期内，只能返修了..  然后上实体店问问有没有买这个快速充电器的  人家说只有普通的！        觉得被坑了  ...  我没办法给予好评了  两个月而已....,-1
5000多块就这么个破手机，第一，电池不行，一天都用不到。第二，预装软件太多，还无法取的ＲＯＯＴ权限，还3个Ｇ的内存，通常在８０%，降不下来。第三，手机发烫，玩小游戏还卡得不行。除了曲屏好看点，我还真没发现这手机的优点在哪？上当受骗！~~~~~,-1
5288就这样的货色，右上角边框划痕，右下角严重凹陷，左下角边框黑点。京东越做越垃圾了，这样的东西也敢发出来，店大欺客,-1
5688，我爸让我给他买手机，给他挑了4g的ram的s7，找客服要序列号没有，还和我说别人能改！后来发现打电话中间容易断，十分差评，要是给其他人订，指不定还说我拿了回扣讷，卖东西卖掉了我的尊严～～强烈建议看到的好友买官网手机，虽然贵点，但质量保证啊，不会和一群套路的客服扯,-1
5688的东西，20天就出现了严重的质量问题，在售后检测为屏幕非人为花屏不开机，需要更换屏幕，我要求换机售后却说超过5天了。刚买回来20天的机器需要拆机换配件，买这个手机都知道这是三防手机，还是一体机，拆机直接造成这个手机三防功能损失一半。这些我都忍了，谁让有国家政策，放到售后说是五天之内修好，现在已经过了快十天了，竟然告诉我屏幕缺货，厂家还没发货。大爷的，我花这么多钱到底买了个什么，用 用不成，看 看不见，我即将出差，逼的我又买了个国产手机凑合着，我一直三星粉，今后不是了。这是最恶心的一次购物。,-1
5个单子 3个超时  现在还有单子没送到呢   电话客服预约不了 在线客服不鸟  京东你还能再烂点不？,-1
"5月15日购买，足足等三个星期，不管由于什么原因，京东这种置之不理，毫无歉意，店大欺客的行为都是不能接受的。。
手机说实话，真的很不错，比我预期的还要棒，本来是当做送朋友5.20礼物的，后来不得不改为6.1礼物，最后又成了提前到来的端午节礼物。。。幸好朋友拿到时非常喜欢，不然要跟京东算账了。。",-1
5月16号下的单，足足等了三个礼拜才到货，还没法兑换三星的微信红包。包装简陋，非常粗糙，比首发大礼包差远了，还少了无线充电座！差评！,-1
6.18买完就便宜400，那些赠品可有可无....真心感觉一点都不保值...,-1
6.18那天搜集价格降到4000多  ，真无语,-1
618买的，以为便宜了四百，结果变成了4888又降了400！！！送的赠品以为我想要啊！宁愿不要赠品好么！,-1
618促销标价5688，促销过了4888，强烈谴责京东虚假标价，虚假促销,-1
618当天4998买的，没想到过了几天降成4888，妈的还降100搞什么飞机，真是买的不如卖的精...4998赠品有个硬壳和一个无线充电器，我就想问下一下，4888买的都是什么赠品？（手机用着暂时没啥问题，无线充电开了快充，充满的4个小时以上，其中规中矩）,-1
618活动买的   ，手机怎么样暂不评价，    差评的原因是618的时候价格是5688 ，然后给400优惠券，现在没优惠券是5288 ，既然优不优惠都一样还搞什么活动？直接多少就多少不得了？还搞个屁的活动？把消费者都当傻子忽悠吗？之前用的几个手机都是在京东买的觉得还挺靠谱，但这次被忽悠太让我失望了。,-1
618活动买的，4708。没几天就降价了，彻底无语，还618大促，这不骗人么。,-1
618活动周期搞活动，有一定幅度的优惠，这点还不错。不过包装相当的烂，赠品的包装有挤压变形的现象，手机包装非常的脏，就跟垃圾站里捡过来似的，不知道京东的仓储和物流是怎么搞得，这种德性的包装让人感觉怎么看怎么不像正经货，京东让人越来越没安全感。,-1
6PLuS坏了，11月4号买的三星手机，送到手以后发现听筒处金属有划痕，由于损伤太小懒得退货，但是今天发现屏幕出现彩色斑点，给三星售后打电话说漏液了，是人为损坏，但是我刚到手3天，自认为呵护有加，没有摔过，挤过，而且屏幕完好，手机周围完好！我实在不知道怎么人为损坏的！,-1
6千多买的没到3个月 发热烫手什么的我都忍了  几天更新完新系统出亮线了 前两张是拿别人手机照得明显的亮线 后一张自己的截图看不到 估计是屏幕完蛋了  从1代iPhone用到5s从来没坏过  因为总见别人三星质量不好 一直很鄙视三星 终于被曲面屏诱惑了买了三星 果然没逃脱三星的厄运,-1
6月13日手机买了10天就黑屏了，联系售后要求换货，售后一直协调，至今没有解决方案。再次提请售后换货，就没有声音了。没想到京东也会做这样骗人的勾当，不讲信誉，大家以后网上别买电子产品了。,-1
6月14号买的机器，一天后出现自动关机的问题，跑三星售后就是给刷系统，也不检测就说机器没问题。找京东售后更牛逼，检测7-15天，宣传的7天无理由退货呢？真是够了！,-1
6月3号四五点到手的，6/6上午就坏了！因为是急用，没有等6/18活动的时候买，价格也不便宜，所以用起来也特别小心，放在裤包里，出去半个小时，拿出来一看还以为是根头发，怎么拿也拿不掉，结果一看，已经裂屏了，正好这款松柏绿是没有保修的，现在申请售后，京东推给三星售后，三星售后说，没有什么维修贴，发票开的也不对，拿上这些单据再拿去售后点寄回三星公司还得签定结果看是人为，还是自裂，如果结果是人为，我就疯了，除了这条裂痕，其他什么印都没有，送的自拍杆一看都是劣质品，电线芯线都是外露的送也不能送这么差的，其他的赠品， 目前还不知道，那个充电宝都不敢用，万一爆炸了怎么办！,-1
6月5号到手的，才18天，刚好过了换货日期，屏幕就坏死了，这就是6000块的质量，真是恶心。即使修好也太不放心了。,-1
6月7日搞的预定活动是我见过的最恶心的活动了，最后没人买，开放购买反而比预定用户条件好，真T  M扯淡，现在都不建议再买这蝙蝠侠版了，百分百是买家退货的货，有人已经收到蝙蝠侠是开封的了，现在都别买了，*名不虚传了！！！所有手机都是买家退的货重新包装再卖，这已成事实！！大家注意了！！！！,-1
7月15号买的5288元，7月31号降到4488，期间还能领一张4000返600的8月20号到期的专门买S6和S6E的优惠券，现在算下来只需要3888就能买S6。京东你坑人的能力今天算是认识了，这才十多天就坑了1400块。申请价格保护告诉我手机价格保护时间是7天，只有家电才是30天价格保护，我R你DA爷的，手机7天的价格保护我还不如申请7天无理由退货呢。这7天内的价格保护有个屁用！以前相信京东每年都在京东花个上万，现在京东玩 蛋去吧。越来越坑人了，以前的诚信也没了。,-1
8月14号购买，15号到货，今天是9月3号。出现的问题，一、到货时充电宝的电源显示灯就不亮，能充电，就是不知充电宝的电量情况。考虑到麻烦，又是手机附件就没理它。二，现在问题是用了不到20天，照相功能不好用了，显示照相故障。应该不是行货，质量很差。千万别再上当了，把我的遭遇告诉大家，就是不希望你们也被骗。,-1
home 键不对称，机身有缝隙，做工不好,-1
home按键，按下去就弹不上来了。什么品控啊。。,-1
HOME键掉了一点点漆基本看不出，本来想上图的但是单反也拍不出掉漆的那一点。差评！,-1
home键掉漆严重，基本残了，价钱不公道，我买后没几天从4888降到3888，搞什么。坑我么，差评,-1
mdzz   刚到货就能用优惠卷便宜100  不愧是*  怕麻烦懒得退了！,-1
"S6 EDGE+ 9280 国行耗电太快了 ，我已经快忍受不了了，真后悔买这个了，以前苹果6的新机刚开始还可以用两天，后来用一天，现在这个9280使用频繁点连半天也撑不住，这有什么用啊 ，3000mA电池就这鸟样子吗？几个活跃的群都赶紧退掉了
国行9280，开飞行模式待机一晚耗电13％。这怎么用啊 。",-1
S6E除了缝隙大 品控烂 很费电 机器热 系统卡 易死机 电池小 活动坑 价格贵 贴膜不好配 重感应失灵 指纹解锁未响应 白条分期活动依然要手续费其他还是完美无缺的,-1
S7 edge 边框的缝隙可以插入两张A4纸，真的可以防水吗？请客服跟进！，多谢！,-1
S7e刚拿到机器就点升级，提示&ldquo;设备上的操作系统已遭未经授权的修改。。。&rdquo;，且恢复出厂设置后第一次进入恢复界面显示&ldquo;非官方系统&rdquo;。在网上查了，属于非全新机器。第二次恢复出厂设置后，上述两种情况都消失了。爱人让我退货，我当时也没计较什么，只要硬件没问题就行了。可是用了三天，心里面还是有点疙瘩，申请换货。原因也写得很详细，结果售后的来电话说这种情况要去三星售后开检测证明，还强调京东售出的绝对是没有二手的，听得出来说话语气比较轻蔑。我就呵呵了，*的名头是哪来的？？？之前买的surface也是有问题换货的，也没需要开什么检测证明。这次购物很失望，主要是在售后这块。,-1
s7e颜值不错，但是用了不到俩个月就黑屏起不来了。网上查了一下，这还不是个例。黑屏问题有不少起了，这一点大家慎用。找京东售后，态度和速度都没有问题，但是返回到三星售后去维修，到今天已经有一周了，还没信儿呢，这款花5000多买的高端机至此到达失望的顶峰。相比之下，还是手上的果6sp更皮实耐用。,-1
sim卡槽凸起的很厉害，已经退换了，要等15天，三星的品控就这么差吗，要买的人三思啊，说不定你就中奖了。,-1
tao宝上三星旗舰店买s6 edge送碎屏险 垃圾京东还需要买了才行 以后不会在这垃圾平台上购买东西了  要买手机的也注意了  京东上的手机不保修  和我在*上买的差很多  都是行货  不如自己去实体店购买  或者三星官网  千万别来这里买   百度上京东的贴子一大堆   都是客户购买后后悔的  什么垃圾服务  还不知道有多少人上当受骗了  前车之鉴   你买你吃亏   ,-1
一个只可以用15天的手机   手机从第16天各种问题各种问题，先是数据线不行了   然后按键又发卡 ，也不知道这个评论他们屏蔽 不屏蔽，反正这个手机太次了   问题重重，现在联系我只能拆机维修，想想都好笑   都看看啊下面有图片  这个之前都换了根数据线了，谁买谁SB,-1
一个如此高配置的手机玩一个小时的游戏机身就发烫，为什么？还经常卡住不动 ，我花6088就买一个垃圾吗？,-1
一个月，手机左上角的面的一小块就翘起来了！,-1
一催再催晚上才送到  什么事都耽误了  在家整整等了一天  送货的工作人员也真是让人无语  询问半天东西还不给我  直到我伸手要才给,-1
一塌糊涂破手机，过了退货期就出问题，只能维修还到处推责任,-1
一天两充，三棒子优化越做越烂，除了颜值和拍照以外，一无是处,-1
一天重启5 6次  无故重启，要求换货，京东墨迹的一笔，还要啥质量检测报告，搞笑么？,-1
